File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
44b276b3-78e9-44f0-9cf8-e16dddb1cd1d	803573c7-a2d3-4564-909a-09d3337ead89.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-QK-A8ZA	TCGA-QK-A8ZA-01A	Primary Tumor
dc5de3da-4e78-425b-a6c6-4a5ff74dbbd4	e263f4f6-f6ed-444e-8d91-4aed04ca2bf3.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CN-4725	TCGA-CN-4725-01A	Primary Tumor
19260cee-30fe-4a91-a504-c1c1265e5e34	e64a9dfd-477d-4cfe-afbb-3cb442911354.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-HD-8224	TCGA-HD-8224-01A	Primary Tumor
ce0dc4cb-0dea-42ad-a6df-9f80d19cc426	5da276ae-8c6a-4393-890e-2c00a9a1eb59.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-P3-A5QF	TCGA-P3-A5QF-01A	Primary Tumor
cb64246a-392e-441d-8535-5631d58a0103	522684c4-34df-4e97-b458-3b27e2136156.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-BA-6870	TCGA-BA-6870-01A	Primary Tumor
b5557828-9913-4f6d-bdbb-fdeb916e1b82	803573c7-a2d3-4564-909a-09d3337ead89.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-QK-A8ZA	TCGA-QK-A8ZA-01A	Primary Tumor
a7d36c99-079e-412b-89d5-d4e41f16cba6	51988c9c-bf24-4706-ac30-c29986819d82.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CQ-A4CA	TCGA-CQ-A4CA-01A	Primary Tumor
32abbdf7-366e-4986-9770-70cde9427dbc	d770775c-efe5-4f6e-a211-1f8f5f184cd8.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-BA-A4IH	TCGA-BA-A4IH-01A	Primary Tumor
e64d5aff-eb27-4253-a018-935af41c412c	34404ab0-933f-43f5-89a6-38af91b8d65d.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-QK-AA3J	TCGA-QK-AA3J-01A	Primary Tumor
b03bb7a0-a308-4a16-a728-b9dfcf15f2a3	f25ebbb2-d196-4da1-b0a1-d23c89deb7a7.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CN-A641	TCGA-CN-A641-01A	Primary Tumor
4bf25153-802f-49b1-8cab-801cecadc7ce	9dc3417f-c1d9-4935-ae0a-0686cf934615.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CQ-A4CE	TCGA-CQ-A4CE-01A	Primary Tumor
c8cd0931-3660-4ef1-8911-8789e304277f	56ba9e1c-ea40-428d-bd07-24ebaedf5e37.FPKM-UQ.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CR-7369	TCGA-CR-7369-01A	Primary Tumor
ee8ea64d-a66e-449b-aa46-0e5c80d496e7	cea213f2-1dca-482a-bc29-d346a6682085.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CN-A498	TCGA-CN-A498-01A	Primary Tumor
